task,method,model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,n_samples,n_classes,feature_dim,data_source,seq_length,rnn_hidden,rnn_layers,train_time,tag,group,feature_construction_time,inference_time_total,inference_time_per_sample,window_size,window_step,seq_step
,,xgb,0.9822525857791689,0.9210999013458468,,,0.9814315986408098,,,,,20.0,,,6.405550900002709,group_c_xgb_H20_L5,C,285.51465344429016,0.0660644000163301,2.521445746968825e-06,,,5.0
,,lstm,0.9961833517804664,0.9831238616731356,,,0.996173351478682,,,,,20.0,,,484.2599439620972,group_d_lstm_H20_L5,D,111.38458132743835,1.098503699991852,4.19260219072498e-05,,,5.0
,,gru,0.9963360177092476,0.9764243527353912,,,0.9963397319186632,,,,,20.0,,,820.1485643386841,group_d_gru_H20_L5,D,112.38698077201845,2.8757140999950934,0.0001097558909963,,,5.0
,,rf,0.9706435829883328,0.9449489566701592,,,0.9703146660133803,,,,,,,,0.2599957000056747,group_b_rf_W60_S60,B,45.01456451416016,0.0281745000102091,1.0603876556345183e-05,60.0,60.0,
,,xgb,0.9706435829883328,0.930472891903398,,,0.9705408135889916,,,,,,,,0.8841638999874704,group_b_xgb_W60_S60,B,41.11518692970276,0.0082106000045314,3.090176892936185e-06,60.0,60.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1477031999966129,group_b_rf_W300_S300,B,14.316309690475464,0.0280124999990221,3.591346153720783e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.4357940999907441,group_b_xgb_W300_S300,B,14.19847536087036,0.0029128000023774,3.734358977407026e-06,300.0,300.0,
,,rf,0.9466666666666668,0.9489515020701632,,,0.937956373691668,,,,,,,,0.1936605999944731,group_b_rf_W900_S900,B,9.069439888000488,0.0309616999875288,0.000103205666625,900.0,900.0,
,,xgb,0.94,0.8697746017598958,,,0.9305408602835074,,,,,,,,0.2806006000027992,group_b_xgb_W900_S900,B,8.428704738616943,0.0015635000017937,5.211666672645757e-06,900.0,900.0,
,,rf,0.9751965198809432,0.8995792985764967,,,0.9726916264053096,,,,,20.0,,,1.7141839999821968,group_c_rf_H20_L10,C,152.45891666412354,0.0635181999823544,4.847607416801833e-06,,,10.0
,,rf,0.9809719722293648,0.9359105926064272,,,0.9806036953142614,,,,,,,,0.6529516000009608,group_b_rf_W300_S30,B,108.48740315437315,0.0394559999986086,5.07276934926827e-06,300.0,30.0,
,,xgb,0.9803861711058536,0.9108004995626484,,,0.9791653419141988,,,,,20.0,,,3.779123000014806,group_c_xgb_H20_L10,C,153.0708179473877,0.0587499999965075,4.48370602125525e-06,,,10.0
,,xgb,0.977243507328362,0.8989543694806171,,,0.9776616902457842,,,,,,,,1.7065606999967713,group_b_xgb_W300_S30,B,110.89765667915344,0.0176648999913595,2.271136537845148e-06,300.0,30.0,
,,rf,0.979738394460118,0.9329103320734008,,,0.9795196426706732,,,,,,,,0.3368096000049263,group_b_rf_W300_S60,B,60.82643938064575,0.0400592999940272,1.0274249806111117e-05,300.0,60.0,
,,xgb,0.9784560143626572,0.9223067347071272,,,0.978367826471399,,,,,,,,1.0382665999932217,group_b_xgb_W300_S60,B,67.51714634895325,0.0064053999958559,1.6428314941923536e-06,300.0,60.0,
,,rf,0.9782330345710628,0.9416285774159854,,,0.9782673760334366,,,,,,,,0.2021196999994572,group_b_rf_W300_S150,B,29.72968029975891,0.0299303000210784,1.9161523701074543e-05,300.0,150.0,
,,xgb,0.9769526248399488,0.9421256732279936,,,0.9770250897186492,,,,,,,,0.6980537000054028,group_b_xgb_W300_S150,B,30.447553634643555,0.0045625999919138,2.9209987144134985e-06,300.0,150.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1849671999807469,group_b_rf_W300_S300,B,17.66624402999878,0.0293845999985933,3.767256410076068e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.5009557000012137,group_b_xgb_W300_S300,B,17.149011611938477,0.0023253000108525,2.981153860067328e-06,300.0,300.0,
,,lstm,0.995115622376555,0.9756044932311058,,,0.9950897224957658,,,,,20.0,,,275.6009683609009,group_d_lstm_H20_L10,D,62.788756132125854,0.6372139000159223,4.863114554040466e-05,,,10.0
,,rf,0.9673805350201966,0.8913429367527892,,,0.9634461225049876,,,,,10.0,,,1.4632221999927424,group_c_rf_H10_L10,C,164.73225617408752,0.0744236000173259,5.672098164570228e-06,,,10.0
,,xgb,0.9728679216523132,0.9108229838843735,,,0.9712401261514718,,,,,10.0,,,3.7966534000006495,group_c_xgb_H10_L10,C,170.22988438606262,0.065051300014602,4.957800473637834e-06,,,10.0
,,gru,0.9940471647714264,0.9527049002709774,,,0.9942634131029644,,,,,20.0,,,376.0421044826508,group_d_gru_H20_L10,D,60.6381139755249,1.5612953000236305,0.0001191555597972,,,10.0
,,rf,0.9717729630759842,0.8875257938292044,,,0.9683129988975486,,,,,20.0,,,0.7435554999974556,group_c_rf_H20_L20,C,87.16874384880066,0.052192000002833,7.96338114172003e-06,,,20.0
,,lstm,0.9891776541422148,0.947055961317256,,,0.9890201985952828,,,,,10.0,,,237.96021246910087,group_d_lstm_H10_L10,D,69.25272035598755,0.4531594000000041,3.453695602469355e-05,,,10.0
,,xgb,0.9763503204150136,0.901188715606166,,,0.9752693814546064,,,,,20.0,,,1.969334399997024,group_c_xgb_H20_L20,C,85.8028302192688,0.030104300007224,4.593271285813867e-06,,,20.0
,,lstm,0.9948123283490998,0.9688377454324156,,,0.99480497921318,,,,,20.0,,,151.22419381141663,group_d_lstm_H20_L20,D,32.27865791320801,0.3325566000130493,5.074101312374875e-05,,,20.0
,,gru,0.988110662297081,0.939563134594796,,,0.9877399643344013,,,,,10.0,,,287.892005443573,group_d_gru_H10_L10,D,59.84471487998962,1.382686199998716,0.0001053796356984,,,10.0
,,rf,0.9717729630759842,0.8875257938292044,,,0.9683129988975486,,,,,20.0,,,0.7951620000239927,group_c_rf_H20_L20,C,87.70610880851746,0.0538304999936372,8.213381140316937e-06,,,20.0
,,xgb,0.9763503204150136,0.901188715606166,,,0.9752693814546064,,,,,20.0,,,2.172563399974024,group_c_xgb_H20_L20,C,87.99652886390686,0.0247832000022754,3.7813854138351248e-06,,,20.0
,,gru,0.9949649069270674,0.967849410070088,,,0.9950817083723486,,,,,20.0,,,290.162474155426,group_d_gru_H20_L20,D,36.12533736228943,0.6385765000013635,9.743309429376922e-05,,,20.0
,,lstm,0.9949649069270674,0.9711655938386156,,,0.9948745506490098,,,,,20.0,,,170.44879364967346,group_d_lstm_H20_L20,D,32.071216344833374,0.3060572000104002,4.669777235434853e-05,,,20.0
,,gru,0.9957277998169056,0.9694658616388578,,,0.9957867745993896,,,,,20.0,,,255.4276747703552,group_d_gru_H20_L20,D,30.475589275360107,0.6580523000156973,0.0001004046841647,,,20.0
,,rf,0.9759082217973232,0.8960248413290225,,,0.9738964986443964,,,,,50.0,,,0.3372792000009212,group_c_rf_H50_L50,C,28.218408584594727,0.0281776000047102,1.077537285074962e-05,,,50.0
,,xgb,0.9789674952198852,0.9118035457475516,,,0.9785425585671406,,,,,50.0,,,0.6941928000014741,group_c_xgb_H50_L50,C,28.43198013305664,0.0061518999864347,2.35254301584502e-06,,,50.0
,,lstm,0.9931166347992352,0.9606709361529338,,,0.9929592053357252,,,,,50.0,,,132.8005919456482,group_d_lstm_H50_L50,D,14.23461651802063,0.1794567999895662,6.862592733826624e-05,,,50.0
,,gru,0.9969407265774378,0.9811472258677862,,,0.997016666127314,,,,,50.0,,,329.3235671520233,group_d_gru_H50_L50,D,14.176161050796509,0.5649333999899682,0.0002160357170133,,,50.0
,,rf,0.9847085425209826,0.9199750580361088,,,0.984166369308933,,,,,50.0,,,3.393420000007609,group_c_rf_H50_L5,C,280.1898140907288,0.0954040999931749,3.6563101212269534e-06,,,5.0
,,rf,0.9706435829883328,0.9449489566701592,,,0.9703146660133803,,,,,,,,0.2627009999996517,group_b_rf_W60_S60,B,40.30679821968079,0.0281967000046279,1.0612231842163315e-05,60.0,60.0,
,,xgb,0.9706435829883328,0.930472891903398,,,0.9705408135889916,,,,,,,,0.8728151999821421,group_b_xgb_W60_S60,B,41.23263096809387,0.0077422999893315,2.913925475849271e-06,60.0,60.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1454983000003267,group_b_rf_W300_S300,B,14.24424958229065,0.0277223000011872,3.554141025793237e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.4502616000245325,group_b_xgb_W300_S300,B,14.363203763961792,0.0031107999966479,3.988205123907672e-06,300.0,300.0,
,,xgb,0.9842103246081324,0.9232425570717498,,,0.9836824625844,,,,,50.0,,,5.954104699980235,group_c_xgb_H50_L5,C,289.5552878379822,0.0847555999935139,3.248212163933388e-06,,,5.0
,,rf,0.9466666666666668,0.9489515020701632,,,0.937956373691668,,,,,,,,0.1267909999878611,group_b_rf_W900_S900,B,10.078121185302734,0.0289828999957535,9.66096666525118e-05,900.0,900.0,
,,xgb,0.94,0.8697746017598958,,,0.9305408602835074,,,,,,,,0.2867642999917734,group_b_xgb_W900_S900,B,8.51922082901001,0.0017663000035099,5.887666678366562e-06,900.0,900.0,
,,rf,0.9809719722293648,0.9359105926064272,,,0.9806036953142614,,,,,,,,0.5992939999850933,group_b_rf_W300_S30,B,107.06552481651306,0.0401703999959863,5.164618153251012e-06,300.0,30.0,
,,xgb,0.977243507328362,0.8989543694806171,,,0.9776616902457842,,,,,,,,1.6911235000006857,group_b_xgb_W300_S30,B,133.5142958164215,0.0179290999949444,2.305104139231732e-06,300.0,30.0,
,,rf,0.979738394460118,0.9329103320734008,,,0.9795196426706732,,,,,,,,0.3193023999920115,group_b_rf_W300_S60,B,68.45252346992493,0.0291982000053394,7.4886381137059395e-06,300.0,60.0,
,,xgb,0.9784560143626572,0.9223067347071272,,,0.978367826471399,,,,,,,,0.9570848000003024,group_b_xgb_W300_S60,B,68.05575323104858,0.0092536999727599,2.3733521345883387e-06,300.0,60.0,
,,rf,0.9782330345710628,0.9416285774159854,,,0.9782673760334366,,,,,,,,0.2143564000143669,group_b_rf_W300_S150,B,30.495739936828613,0.0287036000227089,1.837618439353969e-05,300.0,150.0,
,,xgb,0.9769526248399488,0.9421256732279936,,,0.9770250897186492,,,,,,,,0.602989000006346,group_b_xgb_W300_S150,B,30.498326063156128,0.0039165000198408,2.507362368656144e-06,300.0,150.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1843802999937907,group_b_rf_W300_S300,B,17.28320598602295,0.0301362999889533,3.863628203711974e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.5051438999944367,group_b_xgb_W300_S300,B,16.909751176834106,0.0024566999927628,3.149615375337024e-06,300.0,300.0,
,,rf,0.9673805350201966,0.8913429367527892,,,0.9634461225049876,,,,,10.0,,,1.4752656999917235,group_c_rf_H10_L10,C,177.09155416488647,0.06274970000959,4.7823870139158615e-06,,,10.0
,,xgb,0.9728679216523132,0.9108229838843735,,,0.9712401261514718,,,,,10.0,,,3.7951784000033513,group_c_xgb_H10_L10,C,176.948956489563,0.0581921999983023,4.43504306061294e-06,,,10.0
,,lstm,0.9981987506227724,0.9837539776741268,,,0.9982149392551356,,,,,50.0,,,751.1669640541077,group_d_lstm_H50_L5,D,120.96441388130188,1.8405139000096824,7.053669183342974e-05,,,5.0
,,lstm,0.9889490130325432,0.9493268204386978,,,0.9888659365426924,,,,,10.0,,,193.9208219051361,group_d_lstm_H10_L10,D,61.82965612411499,0.5139730999944732,3.9171793308015634e-05,,,10.0
,,gru,0.9891776541422148,0.9571033227756176,,,0.9890619435136891,,,,,10.0,,,301.4122462272644,group_d_gru_H10_L10,D,69.39034605026245,0.8977087000093888,6.841770444397446e-05,,,10.0
,,rf,0.9717729630759842,0.8875257938292044,,,0.9683129988975486,,,,,20.0,,,0.7974570000078529,group_c_rf_H20_L20,C,90.81313967704772,0.0421798000170383,6.435733905559713e-06,,,20.0
,,xgb,0.9763503204150136,0.901188715606166,,,0.9752693814546064,,,,,20.0,,,2.007930200023111,group_c_xgb_H20_L20,C,88.14268350601196,0.0246214999933727,3.756713456419394e-06,,,20.0
,,lstm,0.9934391211473907,0.9590093988573132,,,0.9932974026013288,,,,,20.0,,,205.5571355819702,group_d_lstm_H20_L20,D,38.76515483856201,0.6992791999946348,0.0001066950259375,,,20.0
,,gru,0.9931339639914556,0.9513707602786609,,,0.99319948120356,,,,,20.0,,,377.39172649383545,group_d_gru_H20_L20,D,37.42973756790161,0.8479107999883126,0.0001293730241056,,,20.0
,,rf,0.9759082217973232,0.8960248413290225,,,0.9738964986443964,,,,,50.0,,,0.3500182999996468,group_c_rf_H50_L50,C,35.456831216812134,0.0401286999986041,1.5345583173462384e-05,,,50.0
,,xgb,0.9789674952198852,0.9118035457475516,,,0.9785425585671406,,,,,50.0,,,0.9391981000080704,group_c_xgb_H50_L50,C,34.763474225997925,0.0092721000255551,3.545736147439816e-06,,,50.0
,,lstm,0.9957934990439772,0.9658882443353662,,,0.9959146550083912,,,,,50.0,,,147.97602152824402,group_d_lstm_H50_L50,D,16.985387325286865,0.2298137999896425,8.788290630579067e-05,,,50.0
,,gru,0.9931166347992352,0.9631553674004282,,,0.9930062183411936,,,,,50.0,,,300.1372399330139,group_d_gru_H50_L50,D,17.322985887527466,0.6641563999874052,0.0002539795028632,,,50.0
,,rf,0.9847085425209826,0.9199750580361088,,,0.984166369308933,,,,,50.0,,,3.5706657999835443,group_c_rf_H50_L5,C,336.5910737514496,0.1198283999983687,4.592358103643456e-06,,,5.0
,,gru,0.9989269152646304,0.9892006376067878,,,0.9989452226425078,,,,,50.0,,,2421.159405946732,group_d_gru_H50_L5,D,130.70625710487366,6.404694699973334,0.0002454564327587,,,5.0
,,xgb,0.9842103246081324,0.9232425570717498,,,0.9836824625844,,,,,50.0,,,6.186096799996449,group_c_xgb_H50_L5,C,321.8227262496948,0.0818667999992612,3.137500479027374e-06,,,5.0
,,rf,0.9843666181316576,0.9204502215130268,,,0.9836990638946564,,,,,50.0,,,1.8744168000121133,group_c_rf_H50_L10,C,154.05935978889465,0.0747568999940995,5.728937082849223e-06,,,10.0
,,xgb,0.9832937389838302,0.9189572672517516,,,0.98270888799473,,,,,50.0,,,3.301975099981064,group_c_xgb_H50_L10,C,158.04706525802612,0.048113299999386,3.687125450179023e-06,,,10.0
,,lstm,0.99793087592919,0.9862277029458244,,,0.9979393101913402,,,,,50.0,,,604.8337488174438,group_d_lstm_H50_L10,D,75.79412269592285,1.1947968000022229,9.156232661523664e-05,,,10.0
,,lstm,0.9984670218066148,0.9904017828401958,,,0.9984606586507716,,,,,50.0,,,1252.032825946808,group_d_lstm_H50_L5,D,121.41532015800476,2.36206400001538,9.052481508509484e-05,,,5.0
,,gru,0.9995401946509312,0.9976695488133794,,,0.9995407803503308,,,,,50.0,,,1668.9968297481537,group_d_gru_H50_L10,D,74.28163766860962,3.511098699993454,0.0002690703272276,,,10.0
,,rf,0.9820854386770784,0.912161326279046,,,0.9812281476302906,,,,,50.0,,,0.8389974000165239,group_c_rf_H50_L20,C,95.66870665550232,0.0522618000104557,8.002113001141597e-06,,,20.0
,,xgb,0.9819323227683356,0.923665214917342,,,0.9813704759711642,,,,,50.0,,,2.046124900021823,group_c_xgb_H50_L20,C,97.07051014900208,0.0232301000214647,3.556897874975464e-06,,,20.0
,,lstm,0.9984688409125708,0.9930883264216596,,,0.998463585969328,,,,,50.0,,,282.1209969520569,group_d_lstm_H50_L20,D,39.97175860404968,0.5269528000208084,8.068485683981141e-05,,,20.0
,,gru,0.998315725003828,0.9812491207585944,,,0.9983514406552406,,,,,50.0,,,879.5714213848114,group_d_gru_H50_L20,D,37.633179664611816,1.6809397999895737,0.0002573786250175,,,20.0
,,gru,0.9972789637067412,0.9879290727417964,,,0.9972178733733432,,,,,50.0,,,2578.9873583316803,group_d_gru_H50_L5,D,144.39279460906982,5.9290902000211645,0.0002272291495811,,,5.0
,,rf,0.9785645933014354,0.908721546755454,,,0.9780050719598018,,,,,50.0,,,0.712493800005177,group_c_rf_H50_L25,C,63.05028676986694,0.0403984999866224,7.73177033236794e-06,,,25.0
,,xgb,0.9829665071770336,0.9255349508914404,,,0.9818573038295182,,,,,50.0,,,1.3216523000155576,group_c_xgb_H50_L25,C,56.271143436431885,0.0119693999877199,2.2907942560229576e-06,,,25.0
,,rf,0.9843666181316576,0.9204502215130268,,,0.9836990638946564,,,,,50.0,,,1.642800100002205,group_c_rf_H50_L10,C,158.6559374332428,0.0630194999976083,4.829450532424582e-06,,,10.0
,,lstm,0.996555023923445,0.981799183692036,,,0.9965470336515572,,,,,50.0,,,240.14206194877625,group_d_lstm_H50_L25,D,25.922646522521973,0.4023396999982651,7.700281339679716e-05,,,25.0
,,xgb,0.9832937389838302,0.9189572672517516,,,0.98270888799473,,,,,50.0,,,3.27996080002049,group_c_xgb_H50_L10,C,183.945301771164,0.049108300008811,3.763376504621891e-06,,,10.0
,,gru,0.997511961722488,0.9688405826065198,,,0.9976685891321572,,,,,50.0,,,687.5577864646912,group_d_gru_H50_L25,D,29.79467272758484,1.4120056999963708,0.0002702403253581,,,25.0
,,lstm,0.9993869262012416,0.9973453312028706,,,0.9993859401583184,,,,,50.0,,,644.8021304607391,group_d_lstm_H50_L10,D,79.07937049865723,0.90773109998554,6.956326921492375e-05,,,10.0
,,rf,0.9759082217973232,0.8960248413290225,,,0.9738964986443964,,,,,50.0,,,0.3795994999818504,group_c_rf_H50_L50,C,34.323816537857056,0.0398656999750528,1.5245009550689426e-05,,,50.0
,,xgb,0.9789674952198852,0.9118035457475516,,,0.9785425585671406,,,,,50.0,,,0.7899723000009544,group_c_xgb_H50_L50,C,29.835532426834103,0.0089916999859269,3.4385085988248456e-06,,,50.0
,,lstm,0.9969407265774378,0.9808597471087492,,,0.9969044304374868,,,,,50.0,,,125.1788923740387,group_d_lstm_H50_L50,D,14.698083639144896,0.2404765000101179,9.196042065396478e-05,,,50.0
,,gru,0.9938814531548756,0.9484089959747856,,,0.9941793173617164,,,,,50.0,,,252.20993995666504,group_d_gru_H50_L50,D,17.310110330581665,0.6675077999825589,0.0002552611089799,,,50.0
,,gru,0.999157023526707,0.9928762479866908,,,0.9991612417452184,,,,,50.0,,,1790.0947856903076,group_d_gru_H50_L10,D,63.77414083480835,2.854668999993009,0.0002187653460029,,,10.0
,,rf,0.9820854386770784,0.912161326279046,,,0.9812281476302906,,,,,50.0,,,0.8004065999994054,group_c_rf_H50_L20,C,72.66818571090698,0.0407150000100955,6.234114226013709e-06,,,20.0
,,xgb,0.9819323227683356,0.923665214917342,,,0.9813704759711642,,,,,50.0,,,1.5595305000024382,group_c_xgb_H50_L20,C,73.72642159461975,0.0220679999911226,3.378961872779457e-06,,,20.0
,,lstm,0.9977032613688562,0.9792765190651476,,,0.997699366470129,,,,,50.0,,,164.5746033191681,group_d_lstm_H50_L20,D,31.02856063842773,0.4559930000104941,6.98197825770164e-05,,,20.0
,,gru,0.9978563772775992,0.9851448539296844,,,0.9978851570419144,,,,,50.0,,,541.6248304843903,group_d_gru_H50_L20,D,30.95100259780884,1.351833600027021,0.0002069872301373,,,20.0
,,rf,0.9785645933014354,0.908721546755454,,,0.9780050719598018,,,,,50.0,,,0.6317946999915875,group_c_rf_H50_L25,C,52.52524352073669,0.0406561999989207,7.78109090888436e-06,,,25.0
,,xgb,0.9829665071770336,0.9255349508914404,,,0.9818573038295182,,,,,50.0,,,1.067813000001479,group_c_xgb_H50_L25,C,53.26583552360535,0.011154500010889,2.1348325379691912e-06,,,25.0
,,lstm,0.997511961722488,0.9812689807349352,,,0.9975178516085752,,,,,50.0,,,204.22766184806824,group_d_lstm_H50_L25,D,24.9102087020874,0.3511493999976665,6.720562679381176e-05,,,25.0
